word,category
ataúd,negative
ateísmo,negative
atención,positive
atento,positive
atenuación,negative
atenuado,negative
aterciopelado,positive
aterosclerosis,negative
aterrizado,positive
aterronado,negative
aterrorizar,negative
atestiguar,positive
atleta,positive
atlético,positive
átomo,positive
atornillado,negative
atracado,negative
atracar,positive
atracción,positive
atractivo,positive
atrás,negative
atrasado,negative
atrasos,negative
atrevido,positive
atrocidad,negative
atrofia,negative
atropello,negative
atroz,negative
aturdido,negative
audacia,positive
audaz,positive
audición,negative
aullido,negative
aumentar,positive
aura,positive
ausencia,negative
ausente,negative
austeridad,negative
austero,negative
autenticidad,positive
auténtico,positive
autocrático,negative
autopsia,negative
autor,positive
autoridad,positive
autoritario,positive
autorización,positive
autorizado,positive
autorizar,positive
avalancha,negative
avanzado,positive
avanzar,positive
avaricia,negative
avaro,negative
avatar,positive
aventuras,positive
aventurero,positive
avergonzado,negative
avergonzar,negative
aversión,negative
ayuda,positive
ayudando,positive
ayudante,positive
ayudar,positive
azogue,negative
azotar,negative
azúcar,positive
azucarado,positive
azufre,negative
babosa,negative
baboso,negative
babuino,negative
bachillerato,positive
bacteria,negative
baile,positive
bajo,negative
bala,negative
balada,positive
balas,positive
balbucear,negative
balbuceo,negative
ballet,positive
baloncesto,positive
bálsamo,positive
bancarrota,negative
bandera,positive
bandido,negative
bañera,positive
baño,negative
banquete,positive
barato,positive
barbarie,negative
bárbaro,negative
barbecho,negative
bardo,positive
barra,positive
barrera,negative
barricada,negative
barro,negative
base,positive
bastante,positive
Bastardo,negative
bastión,positive
basura,negative
basurero,negative
batalla,negative
batería,negative
bautismal,positive
bautismo,positive
bayoneta,negative
bebé,positive
beca,positive
becerro,positive
belicoso,negative
beligerante,negative
belleza,positive
bendecir,positive
bendición,positive
bendiciones,positive
bendito,positive
benefactor,positive
beneficio,positive
beneficioso,positive
benevolencia,positive
benigno,positive
Beso,positive
bestia,negative
bestial,negative
bíblico,positive
biblioteca,positive
bicho,negative
bienes,positive
bienvenida,positive
bilingüe,positive
bilis,negative
biopsia,negative
bisturí,negative
blanco,positive
blancura,positive
blasfemia,negative
bloqueo,negative
blues,negative
bluff,negative
bobo,negative
bocado,negative
bochornoso,positive
bofetada,negative
boicotear,negative
bomba,negative
bombardeado,negative
bombardear,negative
bombardeo,negative
bombo,negative
bonanza,positive
bondad,positive
bonita,positive
borde,negative
borracho,negative
borrado,negative
borrar,negative
borroso,negative
bostezando,negative
bostezo,negative
bote,positive
botín,negative
boya,positive
bozal,negative
brandy,negative
bravata,negative
brecha,negative
bribón,negative
brigada,negative
brillante,positive
brillar,positive
brillo,positive
brindis,positive
brío,positive
brocado,positive
bromas,positive
bromista,positive
bronceado,positive
bruja,negative
brujería,negative
brusco,negative
brutal,negative
brutalidad,negative
bruto,negative
buen,positive
buena,positive
bueno,positive
buffet,negative
buitre,negative
bulboso,negative
buldog,positive
bullicioso,positive
burdel,negative
burke,negative
burla,negative
burlas,negative
burlón,negative
burocracia,negative
burócrata,negative
Burro,negative
búsqueda,positive
cábala,negative
caballería,positive
caballero,positive
cabestro,negative
cabildero,negative
cacofonía,negative
cadáver,negative
cafetería,positive
caída,negative
caído,negative
calambre,negative
calculador,negative
calculadora,positive
calificado,positive
calificativo,positive
calina,negative
Cállate,positive
callejear,negative
calma,positive
calmante,positive
calmar,positive
calumnia,negative
camada,negative
camarada,positive
campaña,positive
campanero,negative
campeón,positive
canalla,negative
canario,positive
cáncer,negative
cancioneta,positive
candidato,positive
canguelo,negative
caníbal,negative
canoso,negative
cansado,negative
cansancio,negative
canta,positive
cantar,positive
caos,negative
caótico,negative
capa,positive
capacidad,positive
capitalista,positive
capitán,positive
capricho,negative
capucha,negative
característica,positive
carcaj,negative
cárcel,negative
carcinoma,negative
cardiomiopatía,negative
carente,negative
carga,negative
cargado,negative
cargador,positive
caricatura,negative
caricia,positive
caridad,positive
caries,negative
cariño,positive
Caritativo,positive
carnal,negative
carnicería,negative
Carnicero,negative
carnívoro,negative
carnoso,negative
carril,negative
cartel,negative
casa,positive
casar,positive
cascada,positive
cáscara,negative
casco,positive
caso,negative
caspa,negative
casta,negative
castidad,positive
castigado,negative
castigar,negative
castigo,negative
catarata,negative
catártico,positive
catástrofe,negative
catedral,positive
catéter,negative
cautelosamente,positive
cautivador,positive
cautivar,positive
cautiverio,negative
cautivo,negative
cayó,negative
caza,negative
cazador,negative
cebador,positive
cebo,negative
ceder,negative
cegado,negative
ceguera,negative
celebracion,positive
celebrado,positive
celebrando,positive
celebridad,positive
celestial,positive
celos,negative
cementerio,negative
cena,positive
cenagal,negative
ceniza,negative
censura,negative
censurar,negative
centelleo,positive
centinela,positive
centrar,positive
centurión,positive
ceñudo,negative
cepo,negative
cercanía,positive
cerda,negative
cerdo,negative
cerebral,positive
ceremonia,positive
Cereza,positive
certeza,positive
cerveza,positive
cesación,negative
cesto,negative
chantaje,negative
chapado,negative
chico,negative
chillido,negative
chirrido,positive
chisme,negative
chocando,negative
chocolate,positive
choque,negative
chorro,negative
chubasco,negative
chulo,negative
chupar,negative
chuparse,positive
chusma,negative
cianuro,negative
ciática,negative
cicatriz,negative
ciclón,negative
ciegas,negative
ciego,negative
cielo,positive
Cielos,positive
científico,positive
cierre,positive
CIERTO,positive
cigarrillo,negative
cincel,positive
cinta,positive
cinturón,negative
circuncisión,positive
ciruela,positive
cisma,negative
citación,negative
citomegalovirus,negative
ciudadano,positive
civil,positive
civilidad,positive
civilización,positive
civilizado,positive
clamor,negative
claridad,positive
clarividente,positive
clásico,positive
clásicos,positive
clasificación,negative
clasificar,positive
claustro,negative
clerical,positive
cliente,positive
clímax,positive
cloroformo,negative
coacción,negative
coalición,positive
cobarde,negative
cobardemente,negative
cobardía,negative
cobertizo,negative
cobrable,negative
cocaína,negative
codicia,negative
codiciar,negative
codicioso,negative
codorniz,negative
coerción,negative
coexistir,positive
cognitivo,positive
coherencia,positive
coherente,positive
cohesivo,positive
coito,positive
cojear,negative
colapso,negative
colectivamente,positive
cólera,negative
colgando,negative
cólico,negative
colisión,negative
colmena,negative
colocado,negative
colosal,positive
colusión,negative
coma,negative
comandante,positive
comatoso,negative
combate,negative
combatido,negative
combatiente,negative
combativo,negative
comentarista,positive
comer,positive
comida,positive
comodidad,positive
comodoro,positive
compañerismo,positive
compañero,positive
compartir,positive
compasión,positive
compasivo,positive
compatibilidad,positive
compatible,positive
compensación,positive
compensar,positive
compensatorio,positive
competente,positive
complacencia,positive
complejado,negative
complejidad,negative
complementario,positive
complemento,positive
completamente,positive
completando,positive
completo,positive
complicación,negative
Complicado,negative
complicar,negative
complicidad,positive
compositor,positive
compost,negative
compras,positive
comprender,positive
comprensión,positive
comprometido,positive
compuesto,positive
compulsión,negative
comunicar,positive
comunicativo,positive
comunidad,positive
comunión,positive
comunismo,negative
comunista,negative
concéntrico,positive
conciencia,positive
concienzudo,positive
conciliación,positive
concluyendo,positive
concordancia,positive
concordia,positive
concusión,negative
conde,positive
condenación,negative
condenado,negative
condenar,negative
condesa,positive
condescendencia,negative
condescendiente,negative
condonar,positive
conducente,positive
conductividad,positive
confederado,positive
conferencista,positive
confesión,negative
confiabilidad,positive
confianza,positive
confidente,positive
confinado,negative
confinamiento,negative
confinar,negative
confirmado,positive
confiscación,negative
confiscar,negative
conflagración,negative
conflicto,negative
conformidad,positive
confundir,negative
confusa,negative
Confusión,negative
confuso,negative
congelación,negative
congestión,negative
congratulatorio,positive
congregación,positive
congruencia,positive
conjetura,positive
conjunto,positive
conmemoración,positive
conmemorar,positive
conmemorativo,positive
conmoción,negative
conocedor,positive
conocido,positive
conocimiento,positive
consagración,positive
consciente,positive
Consejo,positive
conservación,positive
conservar,positive
considerable,positive
consideración,positive
considerado,positive
consistencia,positive
consola,positive
consonante,positive
conspirador,negative
conspirar,negative
constancia,positive
constante,positive
consternación,negative
constitucional,positive
constreñido,negative
constreñir,negative
construir,positive
consuelo,positive
consumado,positive
consumar,positive
contacto,positive
contagio,negative
contagioso,negative
contaminación,negative
contaminado,negative
contaminar,negative
contar,positive
contemplación,positive
contencioso,negative
contener,negative
contenido,positive
contento,positive
continuar,positive
contorno,positive
contrabandista,negative
contrabando,negative
contradecir,negative
contradicción,negative
contradictorio,negative
contraerse,negative
contrario,negative
contrastado,negative
contratado,negative
contravención,negative
contribuir,positive
contribuyente,positive
control,positive
controversia,negative
convencer,positive
convención,positive
convenido,positive
conveniencia,positive
conveniente,positive
convento,positive
conversacional,positive
convertir,positive
convicción,negative
convincente,positive
convulsión,negative
cooperación,positive
cooperando,positive
coral,positive
corazonada,negative
Cordero,positive
cordón,positive
coro,positive
coronación,positive
coronamiento,positive
coronel,positive
corporación,positive
corporal,negative
corpóreo,positive
correctamente,positive
correctivo,positive
correspondencia,positive
corresponder,positive
correspondido,positive
corroborar,positive
corrompiendo,negative
corrosión,negative
corrosivo,negative
corrupción,negative
corrupto,negative
cortador,negative
cortadores,positive
corte,negative
cortés,positive
cortesía,positive
cosecha,positive
cosmopolita,positive
cosquillas,positive
costa,positive
costado,negative
costra,negative
crear,positive
creativo,positive
crecer,positive
creciente,positive
crecimiento,positive
credencial,positive
credibilidad,positive
crédito,positive
crédulo,negative
creer,positive
creíble,positive
crema,positive
cremallera,negative
crescendo,positive
creyendo,positive
criatura,negative
crimen,negative
criminal,negative
criminalidad,negative
cripta,negative
crisis,negative
cristal,positive
criticar,negative
crítico,negative
crónico,negative
crucial,positive
crucifixión,negative
crudo,negative
cruel,negative
crueldad,negative
crujido,negative
cruzada,negative
cuco,negative
cuesta,positive
cuestionable,negative
cuidadosamente,positive
cuidadoso,positive
culinario,positive
culminación,positive
culo,negative
culpa,negative
culpabilidad,negative
culpable,negative
cultivado,positive
cultivar,positive
cultivo,positive
cultura,positive
cumpleaños,positive
cumplimiento,positive
cumplir,positive
cuna,positive
cuota,negative
curable,positive
curación,positive
curandero,negative
curiosidad,positive
curtido,negative
daga,negative
dama,positive
dañar,negative
dando,positive
dandy,negative
daño,negative
daños,negative
dañoso,negative
dar,positive
debacle,negative
debate,positive
débil,negative
debilidad,negative
debilitado,negative
debilitante,negative
decaer,negative
decencia,positive
decepción,negative
decepcionado,negative
decepcionante,negative
decepcionar,negative
dechado,positive
declaración,positive
declaratorio,positive
declinación,negative
declinante,negative
decomisado,negative
decremento,negative
decrépito,negative
Dedicación,positive
deducir,negative
defecto,negative
defectuoso,negative
defender,positive
defendido,positive
defendiendo,positive
defensa,positive
defensor,positive
deferencia,positive
deficiencia,negative
déficit,negative
definitivo,positive
deflación,negative
deformación,negative
deformado,negative
deformar,negative
deformidad,negative
defraudar,negative
degeneración,negative
degenerar,negative
degradación,negative
degradante,negative
degradar,negative
dejar,negative
delantero,positive
delegar,positive
deleite,positive
delfín,positive
Delgado,positive
deliberar,positive
delicioso,positive
delincuencia,negative
delincuente,negative
delirante,negative
delito,negative
demacrado,negative
demanda,negative
demandante,negative
demandar,negative
demencia,negative
demente,negative
democracia,positive
demoler,negative
demolición,negative
demoníaco,negative
demonio,negative
demostrable,positive
demostrativo,positive
denuncia,negative
denunciar,negative
dependiente,positive
deplorable,negative
deplorar,negative
deportación,negative
deportar,negative
depravación,negative
depravado,negative
depreciación,negative
depreciado,negative
depreciar,negative
depredador,negative
depresión,negative
depresivo,negative
deprimente,negative
Deprimido,negative
deprimir,negative
deriva,negative
derrocamiento,negative
derrota,negative
derrotado,negative
desacreditar,negative
desactivar,negative
desacuerdo,negative
desafecto,negative
desafiante,negative
desafiar,negative
desafío,negative
desafortunado,negative
desagradable,negative
desagradecido,negative
desajuste,negative
desalentado,negative
desalentador,negative
desalentar,negative
desalojar,negative
desalojo,negative
desánimo,negative
desaparecido,negative
desapasionado,negative
desapego,negative
desaprobación,negative
desaprobado,negative
desaprobar,negative
desarrollar,positive
desastre,negative
desastroso,negative
desatar,positive
desayuno,positive
descalificación,negative
descalificado,negative
descalificar,negative
descanso,positive
descarado,negative
descarga,negative
descartes,negative
descenso,negative
descolorado,negative
descoloramiento,negative
descolorarse,negative
descomposición,negative
Descompostura,negative
desconcertado,negative
desconectado,negative
desconexión,negative
desconfianza,negative
desconocido,negative
desconsiderado,negative
descontento,negative
descortés,negative
descrédito,negative
descriptivo,positive
descubrimiento,positive
descuidado,negative
descuidando,negative
descuido,negative
desdén,negative
desdeñoso,negative
desdichado,negative
deseable,positive
deseado,positive
deseando,positive
desecho,negative
deseducado,negative
desempleados,negative
deseoso,positive
deserción,negative
deservicio,negative
desesperación,negative
desesperado,negative
desestructurado,negative
desfallecer,negative
desfavorable,negative
desfigurado,negative
desgracia,negative
desgraciado,negative
deshacer,negative
deshecho,negative
deshonestidad,negative
deshonesto,negative
deshonra,negative
Desierto,negative
desigual,negative
desigualdad,negative
desilusión,negative
desinfección,positive
desinflar,negative
desinformación,negative
desintegración,negative
desintegrarse,negative
desinteresado,negative
desinvertido,negative
desistir,negative
desleal,negative
deslizamiento,negative
deslucido,negative
deslumbrador,negative
deslustre,negative
desmayo,negative
desmembramiento,negative
desmoralizado,negative
desmoronándose,negative
desobedecer,negative
desobediencia,negative
desobediente,negative
desolado,negative
desorden,negative
desordenado,negative
despecho,negative
despectivo,negative
despeje,positive
desperdicios,negative
despertar,positive
despiadado,negative
despido,negative
desplazar,negative
desplegar,positive
despojado,negative
despojo,negative
despojos,negative
desposeído,negative
despótico,negative
despotismo,negative
despreciable,negative
desprecio,negative
desprevenido,negative
desprotegido,negative
desterrar,negative
destierro,negative
destilación,positive
destinado,positive
destreza,positive
destrozada,negative
destrozado,negative
destrucción,negative
destructivo,negative
destructor,negative
destruido,negative
destruyendo,negative
desuso,negative
Desventaja,negative
desvergonzado,negative
detección,positive
detectar,positive
detención,negative
detener,negative
deteriorado,negative
deteriorarse,negative
deterioro,negative
determinación,positive
determinado,positive
detestar,negative
detonar,negative
detraer,negative
detrimento,negative
detrito,negative
deuda,negative
deudor,negative
devastación,negative
devastador,negative
devastar,negative
devorar,negative
devoto,positive
diablo,negative
diabólico,negative
diario,positive
diatriba,negative
diccionario,positive
dictador,negative
dictadura,negative
dictatorial,negative
didáctico,positive
dietético,positive
difamación,negative
difamatorio,negative
difícil,negative
dificultad,negative
dificultades,negative
difuminar,negative
difunto,negative
difuntos,negative
dignidad,positive
digno,positive
dilación,negative
dilema,negative
diligencia,positive
dilucidar,positive
diluido,negative
diluvio,negative
dimes,negative
dinero,positive
Dios,positive
diplomacia,positive
diplomático,positive
dirección,positive
direcciones,positive
director,positive
dirigir,positive
discapacidad,negative
discapacitado,negative
disciplina,negative
discontinua,negative
discontinuar,negative
discontinuidad,negative
discorde,negative
discordia,negative
discreción,positive
discrecional,positive
discrepar,negative
discriminación,negative
discriminante,negative
discriminar,negative
discutible,negative
discutidor,negative
discutir,negative
diseminar,positive
diseñador,positive
disensión,negative
disentería,negative
disfrutando,positive
disfrutar,positive
disgustado,negative
disgusto,negative
disidente,negative
disipar,negative
dislocado,negative
disminución,negative
disminuido,negative
disminuir,negative
disolución,negative
disonancia,negative
disparar,negative
disparates,negative
disparidad,negative
disparo,negative
dispersión,negative
dispuesto,positive
disputa,negative
distancia,negative
distanciado,negative
distinción,positive
distorsión,negative
distorsionado,negative
distracción,negative
distraer,negative
distraído,negative
disturbio,negative
divagar,negative
divergente,negative
diversificado,positive
diversión,positive
divertidísimo,positive
divertido,positive
divinidad,positive
división,negative
dócil,positive
doctor,positive
dogmático,negative
dolor,negative
dolorido,negative
doloroso,negative
dominación,negative
don,positive
donación,positive
doncella,positive
dotación,positive
dotado,positive
dotar,positive
drenaje,negative
ducha,negative
duda,negative
dudoso,negative
duela,negative
duelo,negative
duende,negative
dueto,positive
Dulce,negative
dulce,positive
dulces,positive
dulzura,positive
dupdo,negative
duplicidad,negative
duque,positive
durabilidad,positive
durable,positive
dureza,negative
duro,negative
echando,negative
edicto,negative
edificación,positive
edificio,positive
educado,positive
educar,positive
educativo,positive
efectivo,positive
efemérides,positive
eficacia,positive
eficaz,positive
eficiencia,positive
eficiente,positive
egoísmo,negative
egoísta,negative
ególatra,negative
ejecución,negative
ejecutante,positive
ejemplar,positive
elaboración,positive
elástico,positive
elección,positive
electo,positive
electricidad,positive
eléctrico,positive
elegancia,positive
elegante,positive
elegible,positive
elegido,positive
elevación,positive
eliminación,negative
élite,positive
elocuencia,positive
elocuente,positive
elogiar,positive
elusivo,negative
emancipación,positive
embajador,positive
embaldosado,positive
embarazo,positive
embarazoso,negative
embellecer,positive
embellecimiento,positive
embolia,negative
emboscada,negative
embriaguez,negative
embrollado,negative
emergencia,negative
emeritus,positive
eminencia,positive
eminente,positive
eminentemente,positive
emoción,positive
emocionado,positive
emocionante,positive
empapar,negative
empatía,positive
empeñar,negative
empeorando,negative
empequeñecer,negative
emprendedor,positive
empujón,negative
emular,positive
enajenar,negative
enano,negative
encadenar,negative
encaja,negative
encallado,negative
Encantado,positive
encantador,positive
encantar,positive
encanto,positive
encapotado,negative
encarcelado,negative
encarcelamiento,negative
encarcelar,negative
enciclopedia,positive
enclave,negative
enclenque,negative
encogerse,negative
encogimiento,negative
encontró,positive
encubrir,negative
endeble,negative
endémico,negative
enemigo,negative
enemistad,negative
energético,positive
enfado,negative
enfermedad,negative
enfermera,positive
enfermizo,negative
enfermo,negative
enfermos,negative
engañado,negative
engañar,negative
enganchado,negative
engancharse,negative
engaño,negative
engañoso,negative
engranaje,positive
engreído,negative
enigmático,negative
enjuagar,positive
enjuiciamiento,negative
enjuiciar,negative
enlace,negative
enloquecer,negative
enloquecido,negative
enmendar,positive
enojado,negative
enraizado,positive
enredado,negative
enredo,negative
enriquecer,positive
ensenada,positive
enseñar,positive
ensueño,positive
enterrado,negative
enterrar,negative
entierro,negative
entonación,positive
entrañas,negative
entretener,positive
entretenido,positive
entretenimiento,positive
entrometerse,negative
entumecido,negative
entumecimiento,negative
entusiasmo,positive
entusiasta,positive
envenenado,negative
envenenamiento,negative
envidioso,negative
épico,positive
epidemia,negative
epilepsia,negative
epítome,positive
equidad,positive
equilibrado,positive
equilibrar,positive
equilibrio,positive
equivocada,negative
equivocado,negative
erosión,negative
erótico,positive
erradicación,negative
erradicar,negative
errar,negative
errata,negative
errático,negative
errónea,negative
erróneamente,negative
erróneo,negative
error,negative
erudito,positive
erupción,negative
esbelto,positive
escabroso,negative
escabullirse,negative
escalar,negative
escama,negative
escamoso,negative
escándalo,negative
escandaloso,negative
escapar,positive
escape,negative
escaramuza,negative
escasez,negative
escaso,negative
escatimar,negative
escéptico,negative
esclavitud,negative
esclavizado,negative
esclavizar,negative
esclavo,negative
escocés,negative
escombros,negative
escoria,negative
escorpión,negative
escozor,negative
escriba,positive
escritor,positive
escrupuloso,positive
escrutinio,negative
escuchas,negative
escudriñar,negative
escultura,positive
esencial,positive
esfuerzos,negative
esguince,negative
espacioso,positive
espaldarazo,positive
espantado,negative
espantapájaros,positive
espantosamente,positive
espantoso,negative
espasmo,negative
especia,positive
especial,positive
espectáculo,positive
espectral,negative
espectro,negative
especulación,negative
espejismo,negative
espeluznante,negative
esperanza,positive
esperanzado,positive
esperar,positive
Espere,negative
espinilla,negative
espinoso,negative
espionaje,negative
espléndido,positive
esplendor,positive
esponja,negative
esposa,positive
espuma,negative
espurio,negative
esquema,negative
esquizofrenia,negative
estable,positive
establecido,positive
estacada,negative
estacionario,negative
estado,positive
estafador,negative
estallar,negative
estancado,negative
estatua,positive
estelar,positive
estereotipo,negative
estéril,negative
esterilidad,negative
esteriotipado,negative
estética,positive
estético,positive
estiércol,negative
estigma,negative
estilo,positive
estima,positive
estorbador,negative
estornudar,negative
estragos,negative
estrangular,negative
estratega,positive
estratégico,positive
estrecheces,negative
estrecho,negative
estrella,positive
estrellas,positive
estremecimiento,negative
estreñimiento,negative
estrés,negative
estridente,negative
estructura,positive
estudiar,positive
estupidez,negative
Estúpido,negative
estupor,negative
esvástica,negative
eterno,positive
ética,positive
ético,positive
eutanasia,negative
evacuación,negative
evacuar,negative
evadir,negative
evangelio,positive
evasión,negative
evitar,negative
evolución,positive
exacción,negative
exacerbación,negative
exacerbar,negative
exagerado,negative
exagerar,negative
exaltación,positive
exaltado,positive
exaltar,positive
examen,negative
exasperación,negative
excavación,negative
exceder,positive
excelencia,positive
excelente,positive
excepcional,positive
excesivo,negative
exceso,negative
excitable,positive
excitación,positive
excitar,positive
excluido,negative
exclusión,negative
Excluyendo,negative
excoriación,negative
excremento,negative
excrementos,negative
excusa,negative
excusado,negative
exención,positive
exhaustivo,positive
exhortación,positive
exhortar,positive
exigente,negative
exilio,negative
existencia,positive
éxito,positive
exitoso,positive
exorcismo,negative
exótico,positive
expatriado,negative
expectativa,positive
expedición,positive
experimentado,positive
experto,positive
expiación,positive
expiar,positive
expiatorio,negative
expirar,negative
expletivo,negative
explicable,positive
explique,positive
explosivo,negative
explotar,negative
expropiación,negative
expuesto,negative
expulsar,negative
expulsión,negative
exquisitamente,positive
Exquisito,positive
éxtasis,positive
extático,positive
extendido,positive
extenso,positive
exterminar,negative
exterminio,negative
extinción,negative
extinguir,negative
extinto,negative
extirpar,negative
extra,positive
extrajudicial,negative
extranjero,negative
extraño,negative
extraordinario,positive
extraterrestre,negative
extravagante,negative
extraviado,negative
extremidad,negative
extremo,negative
exuberancia,positive
exuberante,positive
eyaculación,positive
fabricación,negative
fabricante,positive
facilitar,positive
fácilmente,positive
facultad,positive
faena,negative
falacia,negative
falible,negative
falla,negative
fallecido,negative
fallecimiento,negative
falsamente,negative
falsedad,negative
falsificación,negative
falsificar,negative
falso,negative
falta,negative
falto,negative
fama,positive
famélico,negative
familia,positive
familiar,positive
familiaridad,positive
famosamente,positive
famoso,positive
fanático,negative
fango,negative
fangoso,negative
fantasma,negative
